Gender,Gender_Label,Ethnicity,Ethnicity_Label,Ground_Truth_Age_Class,Prototype_Image_Path,Prototype_Age,Prototype_Predicted_Age_Class,Prototype_Diff,Criticism_Image_Path,Criticism_Age,Criticism_Predicted_Age_Class,Criticism_Diff
0,Male,0,White,20-29,datasets/utkface/29_0_0_20170117190157234.jpg.chip.jpg,29,20-29,0,datasets/utkface/29_0_0_20170117180920915.jpg.chip.jpg,29,60-69,4
0,Male,0,White,40-49,datasets/utkface/44_0_0_20170105172858549.jpg.chip.jpg,44,40-49,0,datasets/utkface/42_0_0_20170116205352497.jpg.chip.jpg,42,80-89,4
0,Male,1,Black,20-29,datasets/utkface/24_0_1_20170113133945657.jpg.chip.jpg,24,20-29,0,datasets/utkface/27_0_1_20170117010204286.jpg.chip.jpg,27,80-89,6
0,Male,1,Black,40-49,datasets/utkface/40_0_1_20170117154555325.jpg.chip.jpg,40,40-49,0,datasets/utkface/47_0_1_20170117021247110.jpg.chip.jpg,47,50-59,1
0,Male,2,Asian,20-29,datasets/utkface/26_0_2_20170116180402719.jpg.chip.jpg,26,20-29,0,datasets/utkface/26_0_2_20170116181409076.jpg.chip.jpg,26,40-49,2
0,Male,2,Asian,40-49,datasets/utkface/42_0_2_20170104181453181.jpg.chip.jpg,42,40-49,0,datasets/utkface/49_0_2_20170104021434588.jpg.chip.jpg,49,50-59,1
0,Male,3,Indian,20-29,datasets/utkface/23_0_3_20170119164041958.jpg.chip.jpg,23,20-29,0,datasets/utkface/25_0_3_20170119171508760.jpg.chip.jpg,25,50-59,3
0,Male,3,Indian,40-49,datasets/utkface/46_0_3_20170119181027204.jpg.chip.jpg,46,40-49,0,datasets/utkface/43_0_3_20170112220309502.jpg.chip.jpg,43,60-69,2
0,Male,4,Others,20-29,datasets/utkface/26_0_4_20170117153320853.jpg.chip.jpg,26,20-29,0,datasets/utkface/27_0_4_20170103235757172.jpg.chip.jpg,27,50-59,3
0,Male,4,Others,40-49,datasets/utkface/47_0_4_20170105172754348.jpg.chip.jpg,47,40-49,0,datasets/utkface/42_0_4_20170104174008963.jpg.chip.jpg,42,50-59,1
1,Female,0,White,20-29,datasets/utkface/26_1_0_20170116214300865.jpg.chip.jpg,26,20-29,0,datasets/utkface/26_1_0_20170113210604325.jpg.chip.jpg,26,60-69,4
1,Female,0,White,40-49,datasets/utkface/49_1_0_20170109132443455.jpg.chip.jpg,49,40-49,0,datasets/utkface/47_1_0_20170104235823851.jpg.chip.jpg,47,70-79,3
1,Female,1,Black,20-29,datasets/utkface/26_1_1_20170116232824362.jpg.chip.jpg,26,20-29,0,datasets/utkface/28_1_1_20170112204611851.jpg.chip.jpg,28,50-59,3
1,Female,1,Black,40-49,datasets/utkface/40_1_1_20170113012402513.jpg.chip.jpg,40,40-49,0,datasets/utkface/47_1_1_20170116160640036.jpg.chip.jpg,47,70-79,3
1,Female,2,Asian,20-29,datasets/utkface/24_1_2_20170116174538267.jpg.chip.jpg,24,20-29,0,datasets/utkface/26_1_2_20170116184626759.jpg.chip.jpg,26,40-49,2
1,Female,2,Asian,40-49,datasets/utkface/40_1_2_20170116191811650.jpg.chip.jpg,40,40-49,0,datasets/utkface/44_1_2_20170104185236854.jpg.chip.jpg,44,60-69,2
1,Female,3,Indian,20-29,datasets/utkface/23_1_3_20170119164537949.jpg.chip.jpg,23,20-29,0,datasets/utkface/25_1_3_20170104222305855.jpg.chip.jpg,25,50-59,3
1,Female,3,Indian,40-49,datasets/utkface/49_1_3_20170113190751369.jpg.chip.jpg,49,40-49,0,datasets/utkface/43_1_3_20170109142242047.jpg.chip.jpg,43,50-59,1
1,Female,4,Others,20-29,datasets/utkface/24_1_4_20170103223710519.jpg.chip.jpg,24,20-29,0,datasets/utkface/21_1_4_20170103201905647.jpg.chip.jpg,21,60-69,4
1,Female,4,Others,40-49,datasets/utkface/40_1_4_20170109003506229.jpg.chip.jpg,40,40-49,0,datasets/utkface/43_1_4_20170117185935802.jpg.chip.jpg,43,40-49,0
